text,label
喝汤比吃菜更有营养,1
吃人参能治百病,1
穿束腰能缩小腰围,1
新冠可以通过食物传播,1
自制水果酵素瘦身美容,1
早餐是重要一餐有助维持代谢水平,0
国家免费疫苗包含多种基础疾病预防项目,0
胰腺癌是因为糖吃太多,1
癌症是因为“气”憋出来的,1
拍打拉筋不具有医学确切证据支持疗效,0
得新冠就不会再得第二次,1
手指长倒刺是常见现象，和维生素缺乏无关，是由于物理摩擦或洗手过多所致,0
揉眼可带入细菌并伤害角膜,0
传染病患者可依法结婚和生育,0
过度刷夜可能引发视疲劳与干眼,0
月经期间吃冷饮会不孕,1
电脑模式开护眼色就不伤眼,1
吸烟有害健康不具备抗病毒作用,0
喝红糖水不能治疗痛经。,0
吃粗粮可以治愈糖尿病,1
所谓“寒湿体质”需综合分析非单一指标,0
心理疾病只能通过药物解决,1
按摩耳朵可以治疗高血压,1
空腹运动并不一定更燃脂反而可能造成能量不足,0
抗病毒药物越早吃越好,1
醋泡脚治脚气,1
打疫苗后仍需保持良好生活习惯提升防护效果,0
失眠人群不建议日间补觉。,0
存在易胖体质,0
消化功能较弱的人群：饭前空腹吃水果可能引发不适。水果中的果酸易刺激肠胃，可能导致腹痛、腹泻、胃痛等症状，这类人群更适合饭后吃水果。,0
毛孔能用冰水收缩,1
体检报告上，HPV和TCT结果有异常，就是宫颈癌,1
高温睡眠环境不利深度睡眠,0
山药含淀粉质不适合糖尿病患者多食,0
眼保健操可改善眼部血液循环但非治近视手段,0
味精不致癌,0
打疫苗会影响智力发育,1
清晨做广播操能排出体内湿气,1
心理疾病能通过锻炼治愈,1
出汗是水分流失，不等于脂肪减少,0
睡太久脑子会变迟钝,1
疫苗注射后记忆力变差,1
跳绳10分钟等于跑步半小时,1
不打疫苗的人易感染传播疾病危害他人,0
泡脚时间并非越长越好,0
长时间桑拿可能导致脱水并非排毒,0
怀孕早期同房会导致胎儿畸形,1
食材种类多样化比追求单一神效更重要,0
狂犬病预防需及时接种疫苗,0
疫苗能使机体产生特异性抗体预防感染,0
刮痧越出痧代表病越重,1
锻炼过度不利于恢复和健康,0
所有慢性病都能靠调理根治,1
指甲月牙多才健康,1
部分无糖产品可能添加较多油脂，因此仍属于高能量食品，过量食用可能导致肥胖,0
HPV疫苗会让人不孕,1
多吃蛋黄补脑,1
喝酵素就能清肠减肥,1
饮食结构对癌症风险有影响但不能完全预防,0
疫苗是人工疾病的源头,1
内脏脂肪减少需整体生活方式改变,0
孕妇不能接种任何疫苗,1
每天固定时间起床伤身体,1
癌症复发与肿瘤特性及个体差异有关,0
长期近距离用眼是近视的主要诱因之一,0
眼镜配戴不会导致眼睛“变懒”,0
用银饰能检测食物是否有毒,1
咳嗽可能是多种疾病表现需评估传染性,0
减肥,0
体重不降说明运动无效,1
男人射精越多越容易秃头,1
量子美容可以除皱抗衰,1
接种疫苗是个人与公共健康责任的体现,0
中医中的“补肾”需明确具体证型,0
心态好就不会有心理疾病,1
不食用野生蘑菇和野生植物等，以免引发食物中毒。,0
消毒剂严禁饮用,0
吃韭菜可壮阳治疗阳痿,1
胎动越多说明越健康,1
睡眠不足会影响专注力判断力与记忆力,0
煎中药器皿应避免铝铁但不必迷信砂锅,0
痛风治疗目标是控制血尿酸水平,0
吃得慢有助提升饱腹感减少总摄入,0
